G1,G2,G3,studytime,failures,absences,Medu,Fedu,famrel,freetime,goout,nursery,internet,romantic,Dalc,Walc,student_id
0,11,11,2,0,4,4,4,4,3,4,1,0,0,1,1,POR_1
9,11,11,2,0,2,1,1,5,3,3,0,1,0,1,1,POR_2
12,13,12,2,0,6,1,1,4,3,2,1,1,0,2,3,POR_3
14,14,14,3,0,0,4,2,3,2,2,1,1,1,1,1,POR_4
11,13,13,2,0,0,3,3,4,3,2,1,0,0,1,2,POR_5
12,12,13,2,0,6,4,3,5,4,2,1,1,0,1,2,POR_6
13,12,13,2,0,0,2,2,4,4,4,1,1,0,1,1,POR_7
10,13,13,2,0,2,4,4,4,1,4,1,0,0,1,1,POR_8
15,16,17,2,0,0,3,2,4,2,2,1,1,0,1,1,POR_9
12,12,13,2,0,0,3,4,5,5,1,1,1,0,1,1,POR_10
14,14,14,2,0,2,4,4,3,3,3,1,1,0,1,2,POR_11
10,12,13,3,0,0,2,1,5,2,2,1,1,0,1,1,POR_12
12,13,12,1,0,0,4,4,4,3,3,1,1,0,1,3,POR_13
12,12,13,2,0,0,4,3,5,4,3,1,1,0,1,2,POR_14
14,14,15,3,0,0,2,2,4,5,2,1,1,1,1,1,POR_15
17,17,17,1,0,6,4,4,4,4,4,1,1,0,1,2,POR_16
13,13,14,3,0,10,4,4,3,2,3,1,1,0,1,2,POR_17
13,14,14,2,0,2,3,3,5,3,2,1,0,0,1,1,POR_18
8,8,7,1,3,2,3,2,5,5,5,1,1,0,2,4,POR_19
12,12,12,1,0,6,4,3,3,1,3,1,1,0,1,3,POR_20
12,13,14,2,0,0,4,3,4,4,1,1,1,0,1,1,POR_21
11,12,12,1,0,0,4,4,5,4,2,1,1,0,1,1,POR_22
12,13,14,2,0,0,4,2,4,5,1,1,1,0,1,3,POR_23
10,10,10,2,0,2,2,2,5,4,4,1,1,0,2,4,POR_24
10,11,10,3,0,2,2,4,4,3,2,1,1,0,1,1,POR_25
10,11,12,1,0,6,2,2,1,2,2,0,1,0,1,3,POR_26
11,12,12,1,0,8,2,2,4,2,2,1,1,0,1,2,POR_27
11,11,11,1,0,0,4,2,2,2,4,1,1,0,2,4,POR_28
12,12,13,2,0,2,3,4,5,3,3,1,1,0,1,1,POR_29
12,11,12,2,0,4,4,4,4,4,5,1,1,1,5,5,POR_30
10,11,11,2,0,0,4,4,5,4,2,0,1,0,3,4,POR_31
15,15,15,2,0,2,4,4,4,3,1,1,1,0,1,1,POR_32
13,14,15,2,0,0,4,3,4,5,2,1,1,1,1,1,POR_33
13,12,12,2,0,0,3,3,5,3,2,0,1,0,1,1,POR_34
12,12,12,1,0,4,3,2,5,4,3,0,1,0,1,1,POR_35
11,11,11,1,0,4,2,3,3,5,1,1,0,0,1,1,POR_36
14,14,14,3,0,0,4,3,5,4,3,1,1,0,1,1,POR_37
13,13,13,3,0,4,4,4,2,4,3,1,1,1,1,1,POR_38
11,12,12,3,0,2,3,4,4,3,2,1,1,0,1,1,POR_39
14,13,12,1,0,8,2,2,4,3,1,1,0,0,1,1,POR_40
11,11,10,2,0,16,2,2,3,3,3,0,1,1,1,2,POR_41
10,11,11,1,0,8,4,4,5,4,3,0,1,1,2,4,POR_42
14,15,15,2,0,0,4,4,4,3,3,1,1,0,1,1,POR_43
9,10,10,1,0,0,2,2,5,4,1,1,1,0,1,1,POR_44
10,11,11,2,1,14,2,2,4,3,3,1,1,0,2,2,POR_45
10,11,11,2,0,4,4,3,5,2,2,1,1,1,1,1,POR_46
13,12,13,2,0,6,3,3,2,3,5,1,1,0,1,4,POR_47
17,17,17,4,0,2,4,3,4,2,2,1,1,0,1,1,POR_48
11,12,13,2,0,4,4,2,4,3,3,1,0,0,2,2,POR_49
13,12,12,2,0,2,4,4,4,4,4,0,1,0,1,1,POR_50
14,13,13,2,0,0,2,2,4,3,3,1,1,0,2,3,POR_51
16,14,16,2,0,0,4,2,4,3,3,1,1,0,1,1,POR_52
10,9,9,1,0,4,4,2,5,5,5,1,0,0,3,4,POR_53
13,12,12,1,0,0,4,4,3,3,4,1,1,0,2,3,POR_54
13,12,13,1,0,0,3,3,5,3,4,1,1,0,4,4,POR_55
12,13,12,2,0,2,2,1,5,3,4,1,1,1,1,1,POR_56
15,14,15,2,0,0,4,3,4,3,2,1,1,0,1,1,POR_57
15,15,16,2,0,8,4,4,3,2,2,1,0,0,1,1,POR_58
14,13,14,2,0,0,1,2,4,3,2,1,1,0,1,1,POR_59
16,15,16,2,0,2,4,2,4,2,3,1,1,0,1,1,POR_60
17,16,16,2,0,0,4,4,2,4,4,1,0,0,2,3,POR_61
10,10,16,1,0,0,1,1,5,5,5,0,1,1,5,5,POR_62
13,13,10,2,0,0,1,2,4,4,3,1,1,0,1,1,POR_63
14,13,13,3,0,0,4,3,3,4,4,1,1,0,2,4,POR_64
13,12,12,2,0,0,4,3,4,4,4,1,1,1,2,4,POR_65
16,15,16,2,0,2,4,3,5,4,3,1,1,0,1,2,POR_66
11,12,12,4,0,0,4,4,1,3,3,0,1,1,5,5,POR_67
10,9,10,4,0,0,3,1,4,3,3,1,1,0,1,2,POR_68
11,10,11,2,0,0,2,2,4,1,3,1,1,0,1,3,POR_69
15,15,15,4,0,6,3,1,4,4,2,0,1,0,2,3,POR_70
13,11,11,4,0,2,3,1,4,3,2,1,1,0,1,1,POR_71
11,9,10,4,0,0,4,2,3,3,3,1,1,0,1,1,POR_72
13,11,11,2,0,2,1,1,3,3,4,0,1,1,2,4,POR_73
13,13,14,1,0,0,3,1,5,3,2,1,0,0,2,2,POR_74
11,11,11,2,0,4,3,3,4,3,3,1,1,0,2,4,POR_75
11,11,11,2,0,0,4,3,4,3,3,1,1,0,2,3,POR_76
12,11,11,4,0,0,4,0,3,4,3,1,1,0,1,1,POR_77
13,13,13,4,0,1,2,2,5,2,3,1,1,1,1,3,POR_78
9,9,10,1,3,0,2,1,4,5,1,1,1,0,1,1,POR_79
12,11,11,2,0,14,3,4,2,4,3,1,1,0,1,2,POR_80
11,11,12,1,0,0,2,3,3,2,2,0,1,1,1,3,POR_81
10,9,9,3,0,2,2,3,5,3,2,0,1,0,1,2,POR_82
12,11,11,2,0,4,3,2,4,4,4,1,1,0,1,1,POR_83
13,12,13,2,0,2,2,2,5,3,3,1,1,0,1,3,POR_84
13,12,12,2,0,2,1,1,4,3,2,0,1,0,2,3,POR_85
12,11,12,2,0,4,4,4,4,4,4,1,1,1,2,3,POR_86
13,11,11,2,0,6,2,2,4,3,4,1,0,0,1,2,POR_87
15,15,15,3,0,4,4,2,5,3,3,1,1,0,1,3,POR_88
12,10,11,2,0,6,2,2,4,4,2,0,1,0,1,1,POR_89
9,9,10,2,0,6,4,4,4,1,3,1,0,0,3,5,POR_90
9,11,11,3,0,2,3,3,4,3,3,1,1,1,1,3,POR_91
14,13,13,1,0,6,4,3,4,5,5,1,1,0,1,3,POR_92
12,13,12,2,0,0,3,1,3,3,3,1,0,0,2,3,POR_93
13,14,14,2,0,2,4,2,5,3,3,1,1,0,1,1,POR_94
11,12,12,4,0,2,2,2,4,3,4,1,1,0,1,1,POR_95
13,13,13,4,0,4,1,1,3,1,2,1,1,0,1,1,POR_96
